# Address	TypeOfHouse	Price$	Bedrooms	Bathrooms	SqftHome	AcresLot	CarSpace
27703 Ortega Hwy Spc 42 San Juan Capistrano CA 92675	Mobile Home	$289,900	2 bed	2 ba	1,600 sqft	No lot	No car
28312 Avenida La Mancha San Juan Capistrano CA 92675	House	$2,795,000	6 bed	6+ ba	6,668 sqft	1.7 acres lot	3 car
27531 Avenida Larga San Juan Capistrano CA 92675	Condo/Townhome	$489,900	2 bed	2 ba	1,350 sqft	1,720 sqft lot	2 car
27902 Via Madrina San Juan Capistrano CA 92675	House	$3,498,000	5 bed	6 ba	8,380 sqft	1.49 acres lot	5 car
27232 Via Capote Apt A San Juan Capistrano CA 92675	Condo/Townhome	$585,000	3 bed	2 ba	1,680 sqft	1,722 sqft lot	2 car
32302 Alipaz St Spc 103 San Juan Capistrano CA 92675	Mobile Home	$369,900	3 bed	2 ba	1,600 sqft	No lot	No car
32221 Alipaz St Apt 221 San Juan Capistrano CA 92675	Condo/Townhome	$345,000	2 bed	2 ba	1,097 sqft	No lot	1 car
26621 Via La Jolla San Juan Capistrano CA 92675	House	$1,495,000	4 bed	3+ ba	3,273 sqft	7,212 sqft lot	3 car
26488 Calle San Luis Unit F76 San Juan Capistrano CA 92675	Condo/Townhome	$325,000	3 bed	1 ba	866 sqft	No lot	1 car
31191 Casa Grande Dr San Juan Capistrano CA 92675	House	$919,980	4 bed	3 ba	2,651 sqft	9,000 sqft lot	3 car
32951 Avenida Del Rosal San Juan Capistrano CA 92675	House	$635,000	3 bed	1+ ba	1,210 sqft	2,600 sqft lot	2 car
29661 Monarch Dr San Juan Capistrano CA 92675	House	$1,175,000	4 bed	3 ba	2,900 sqft	0.62 acres lot	2 car
26000 Avenida Aeropuerto Spc 180 San Juan Capistrano CA 92675	Mobile Home	$249,000	2 bed	2 ba	1,600 sqft	No lot	No car
33831 Connemara Dr San Juan Capistrano CA 92675	House	$2,795,000	5 bed	6+ ba	6,129 sqft	0.4 acres lot	3 car
31322 Via Las Palmas San Juan Capistrano CA 92675	House	$2,179,000	5 bed	4+ ba	4,963 sqft	0.46 acres lot	3 car
28269 Via Del Mar San Juan Capistrano CA 92675	House	$899,000	4 bed	3 ba	2,418 sqft	100.0 acres lot	2 car
32552 Alipaz St Unit 32 San Juan Capistrano CA 92675	Condo/Townhome	$375,000	2 bed	2 ba	1,062 sqft	1,600 sqft lot	1 car
30621 Hunt Club Dr San Juan Capistrano CA 92675	House	$2,788,000	5 bed	5+ ba	6,308 sqft	0.7 acres lot	2 car
31392 La Matanza St San Juan Capistrano CA 92675	House	$750,000	3 bed	2 ba	1,577 sqft	0.23 acres lot	1 car
31482 Calle La Purisima Unit 25 San Juan Capistrano CA 92675	Condo/Townhome	$395,000	3 bed	2 ba	1,141 sqft	No lot	1 car
27962 Calle Belmonte San Juan Capistrano CA 92675	House	$858,000	4 bed	2+ ba	2,280 sqft	5,000 sqft lot	2 car
